ID,roi,roi_areas,cal,stage,focus,genotype,Al_measure,Si_measure,P_measure,S_measure,Cl_measure,Ar_measure,K_measure,Ca_measure,Sc_measure,Ti_measure,V_measure,Cr_measure,Mn_measure,Fe_measure,Co_measure,Ni_measure,Cu_measure,Zn_measure
2_0106,5,1246,downstream,stage1-8_oocyte,cell,KO,2094.6506,-29349.1562,144029.7627,-47425.252,-5634.42446,-76.23028,4815.79,12051.88516,0,76.949222,0,20.7918774,6.8052782,1965.779312,-35.0316638,-37.323307,72.843652,3787.664812
2_0106,6,768,downstream,stage1-8_oocyte,cell,KO,-1685.376,-15595.008,77411.87328,-32461.824,-3045.6192,-42.4704,-3271.68,5131.82208,0,7.851264,0,18.523008,12.06144,858.341376,-6.500736,-13.7830656,38.33856,1792.619059
2_0106,7,480,downstream,stage1-8_oocyte,cell,KO,-3516.528,-8522.016,32733.6528,-17687.52,-1916.8368,101.2752,-6722.208,2509.9344,0,17.2584,0,11.45256,28.100688,404.60736,-4.20072,-6.581328,10.53264,841.583712
2_0106,8,306,downstream,stage1-8_oocyte,cell,KO,-754.6572,-4543.5186,17515.01466,-12119.742,-1038.14478,244.22778,-5837.9598,1325.70216,0,9.963054,0,3.0098466,8.7808536,165.674214,-0.0401472,-4.100247,-1.9278,435.0491964
2_0107,1,33447.1,downstream,stage9-13_oocyte,focus,KO,2742795.988,-4639587.719,5963570.435,-1856916.098,-3960.13664,6398.43023,12409198.54,248707.953,0,-375.5273153,0,1433.924003,6621.860203,155907.0341,3803.791516,-500.3043976,22561.57407,411104.3868
2_0107,2,47435.2,downstream,stage9-13_oocyte,cell,KO,3748661.55,-6437288.686,8312856.572,-1122032.221,458669.9229,-37323.43842,17178928.06,321774.7818,0,-605.9704494,0,1982.003936,7427.740406,187034.2424,4906.772984,-749.1683056,23782.49135,442997.8925
2_0108,1,13192,downstream,stage9-13_oocyte,focus,KO,1281431.304,-1567354.712,2774336.964,172947.12,92222.6336,4953.72792,5744398.355,181344.6195,0,635.1037752,0,939.0646048,4949.733382,72325.74683,2199.640676,-186.6970097,13895.53596,270593.0864
2_0108,2,42247.1,downstream,stage9-13_oocyte,cell,KO,3732320.049,-4899277.895,8255780.417,66834.9122,905786.2734,-27153.47858,17388889.46,213500.367,0,589.5244828,0,7624.013059,6872.00623,202999.2589,4858.395376,-470.531301,18028.71757,380242.814
2_0109,1,12869.1,downstream,stage9-13_oocyte,focus,KO,1682470.101,-2249773.488,2975788.14,1348462.905,171931.9481,-5814.516762,7105389.158,197226.8077,0,331.2480602,0,1331.865627,5879.185276,73310.55261,2602.50265,-170.3155892,15367.94462,298225.6459
2_0109,2,16087.1,downstream,stage9-13_oocyte,focus,KO,1809480.225,-2861806.611,3322004.489,772663.413,117906.5385,-550.822304,7847977.517,186810.0009,0,75.17984443,0,1331.694964,5558.094659,87272.90359,2698.784766,-205.5027285,17271.33578,333905.0767
2_0109,3,39182.2,downstream,stage9-13_oocyte,cell,KO,4274198.123,-6659485.076,8082392.155,3710358.429,890676.4485,-39633.57894,19049127.89,243592.211,0,102.0186941,0,3546.510223,7685.788359,183190.6555,5574.012753,-612.2532207,19387.43092,409159.1988
