Food_TPEN,Male_TPEN,Male_Zn,Female_TPEN,Female_Zn,Day1_egg,Day1_hatch,Day2_egg,Day2_hatch,Day3_egg,Day3_hatch,Mean_hatch,Mean_egg
100,100,100,0,0,29,0.862068966,23,0.782608696,27,0.925925926,0.860759494,26.33333333
100,100,100,0,0,34,0.676470588,28,0.785714286,26,0.846153846,0.761363636,29.33333333
100,100,100,0,0,14,0.928571429,29,0.896551724,18,0.944444444,0.918032787,20.33333333
100,100,100,100,100,26,0.923076923,32,0.96875,26,0.884615385,0.928571429,28
100,100,100,100,100,22,0.818181818,24,0.625,25,0.88,0.774647887,23.66666667
100,100,100,100,100,27,0.962962963,0,,38,0.921052632,0.938461538,21.66666667
100,100,100,100,100,1,0,4,1,0,,0.8,1.666666667
100,100,100,100,100,12,1,7,0.714285714,45,0.933333333,0.921875,21.33333333
100,100,100,100,100,26,0.884615385,31,0.935483871,24,1,0.938271605,27
100,100,100,100,100,16,1,31,1,23,1,1,23.33333333
100,100,100,100,100,18,1,24,1,27,1,1,23
100,100,100,100,100,20,1,28,0.928571429,20,1,0.970588235,22.66666667
100,100,100,100,100,24,0.916666667,33,0.939393939,27,1,0.952380952,28
